track_name,artists,album_name,album_art_url,played_at,spotify_url,duration_m,played_at_date
Animal Spirits,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:21:40.934000+00:00,https://open.spotify.com/track/1SHA4IJyiyNobDOrQzFFXy,3.1800166666666665,2025-01-10
The Sweet Science,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:18:29.979000+00:00,https://open.spotify.com/track/73bJahLiTR2RAfXd3aNn1p,1.9286333333333334,2025-01-10
Cory Wong,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:16:33.809000+00:00,https://open.spotify.com/track/1L9qsoNnyT3r8fgr2Pr7Ty,4.115166666666666,2025-01-10
Aunt Leslie,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:12:26.979000+00:00,https://open.spotify.com/track/6vzRQHItVGIT94q33HvRZx,3.8232500000000003,2025-01-10
"Margery, My First Car",Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:08:37.481000+00:00,https://open.spotify.com/track/5h3MfjJrSPqKTZ7F4wyHg9,3.8597333333333332,2025-01-10
"Daddy, He Got a Tesla",Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:04:46.067000+00:00,https://open.spotify.com/track/2WbKDH7BbDUHqACsZH0KVW,3.4220333333333333,2025-01-10
"1 for 1, DiMaggio",Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 08:01:20.664000+00:00,https://open.spotify.com/track/6ZyuNGpj7FQDT9vklQlmJA,3.1563833333333333,2025-01-10
El Chepe,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 07:58:11.364000+00:00,https://open.spotify.com/track/4dwUJK6Za2KRrj8z0BM2Ab,4.802433333333334,2025-01-10
Conscious Club,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 07:53:23.215000+00:00,https://open.spotify.com/track/5vmFVIJV9XN1l01YsFuKL3,3.3362833333333333,2025-01-10
Dean Town,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 07:50:03.110000+00:00,https://open.spotify.com/track/1oOD1pV43cV9sHg97aBdLs,3.5550333333333333,2025-01-10
Animal Spirits,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 07:46:29.693000+00:00,https://open.spotify.com/track/1SHA4IJyiyNobDOrQzFFXy,3.1800166666666665,2025-01-10
The Sweet Science,Vulfpeck,The Beautiful Game,https://i.scdn.co/image/ab67616d0000b273fc6e5f2e6a7dd1ce3e83a897,2025-01-10 07:43:19.062000+00:00,https://open.spotify.com/track/73bJahLiTR2RAfXd3aNn1p,1.9286333333333334,2025-01-10
Christmas in L.A.,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 05:05:11.911000+00:00,https://open.spotify.com/track/2VeGUtdexOkXkNXpGdbNws,3.0564166666666663,2025-01-10
Walkies,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 05:02:08.594000+00:00,https://open.spotify.com/track/1GmtpbNbybW5ZDSqn6v3NO,1.0575,2025-01-10
Game Winner,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 05:01:05.154000+00:00,https://open.spotify.com/track/1CyAxM93XN2atUBykXFWPX,3.5424833333333337,2025-01-10
Rango II,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 04:57:32.582000+00:00,https://open.spotify.com/track/0JcjupySdUvwYNV7DDkbwU,4.189433333333334,2025-01-10
Funky Duck,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 04:53:21.200000+00:00,https://open.spotify.com/track/2KRQR1VK6OoJxpwVzwDv72,2.1795,2025-01-10
Back Pocket,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 04:51:10.465000+00:00,https://open.spotify.com/track/1DrlLvlYd1FIjNavRm6NdX,3.020983333333333,2025-01-10
Welcome to Vulf Records,Vulfpeck,Thrill of the Arts,https://i.scdn.co/image/ab67616d0000b273d4d231e11ce86d2a6e6f9414,2025-01-10 04:48:09.224000+00:00,https://open.spotify.com/track/6tL1I2F1BWhhQpwFUQztEz,2.7203,2025-01-10
Good Together,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 13:16:48.250000+00:00,https://open.spotify.com/track/5a3MulSI25BDyBGg1Gsfpz,3.808683333333333,2025-01-09
The Night,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 13:05:01.071000+00:00,https://open.spotify.com/track/7naPidcaBye6u9xLtZ6v6z,5.04145,2025-01-09
It Ain't Wrong Loving You,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:59:58.593000+00:00,https://open.spotify.com/track/46dEPk9Luf1gokLNZWEZwN,3.2676166666666666,2025-01-09
Coastal Love,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:56:42.523000+00:00,https://open.spotify.com/track/44zf5NYcYHYzkSsRLARemm,4.090933333333333,2025-01-09
Out of My Control,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:52:36.978000+00:00,https://open.spotify.com/track/4hT37YdOmXUelYWWgA2L8a,4.912433333333333,2025-01-09
Treat You Right,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:47:42.313000+00:00,https://open.spotify.com/track/6OulnIab9bf8oVFUQwb6kK,4.0373833333333335,2025-01-09
All in the Value,HONNE,Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:43:40.027000+00:00,https://open.spotify.com/track/2vcmVVUN8kd3uiQtlsVr1E,3.7134666666666667,2025-01-09
Someone That Loves You,"HONNE, Izzy Bizu",Warm on a Cold Night (Deluxe),https://i.scdn.co/image/ab67616d0000b27398ba0f90dd1805629ce4c53e,2025-01-09 12:39:57.214000+00:00,https://open.spotify.com/track/1yraET52i6ZkrvvrmKNyn6,4.082633333333333,2025-01-09
